2026-05-28 18:54:31.373918,4740,62294,FRAUD
2026-05-28 18:54:31.374027,4945,58650,FRAUD
2026-05-28 18:54:31.374050,8712,4592,SAFE
2026-05-28 18:54:31.374059,4553,98441,FRAUD
2026-05-28 18:54:31.374065,9399,77144,FRAUD
2026-05-28 18:54:31.374070,4152,68211,FRAUD
2026-05-28 18:54:31.374075,8964,5000,SAFE
2026-05-28 18:54:31.374080,3669,22753,SAFE
2026-05-28 18:54:31.374098,8469,74736,FRAUD
2026-05-28 18:54:31.374119,5140,69743,FRAUD
2026-05-28 18:57:00.860729,6168,59327,FRAUD
2026-05-28 18:57:00.860771,3416,33321,SAFE
2026-05-28 18:57:00.860779,7196,56646,FRAUD
2026-05-28 18:57:00.860785,1224,28959,SAFE
2026-05-28 18:57:00.860790,8887,12835,SAFE
2026-05-28 18:57:00.860795,3404,95196,FRAUD
2026-05-28 18:57:00.860799,6907,93197,FRAUD
2026-05-28 18:57:00.860803,9100,36331,SAFE
2026-05-28 18:57:00.860808,5574,77723,FRAUD
2026-05-28 18:57:00.860812,3569,34439,SAFE
